species,specimen_number,eccentricity,aspect_ratio,elongation,solidity,stochastic_convexity,isoperimetric_factor,maximal_indentation_depth,lobedness,average_intensity,average_contrast,smoothness,third_moment,uniformity,entropy
1,1,0.7269399999999999,1.4742,0.32395999999999997,0.98535,1.0,0.8359200000000001,0.0046566,0.0039465,0.04779,0.12795,0.016108,0.0052323,0.00027477,1.1756
1,2,0.74173,1.5257,0.36116,0.9815200000000001,0.99825,0.79867,0.0052423,0.0050016,0.02416,0.090476,0.0081195,0.002708,7.484600000000001e-05,0.6965899999999999
1,3,0.76722,1.5725,0.38998,0.97755,1.0,0.80812,0.007457300000000001,0.010121,0.011897,0.057445,0.0032890999999999997,0.00092068,3.7885999999999996e-05,0.44348000000000004
1,4,0.73797,1.4597,0.35375999999999996,0.9756600000000001,1.0,0.81697,0.0068768,0.0086068,0.01595,0.065491,0.0042707,0.0011544,6.627199999999999e-05,0.58785
1,5,0.82301,1.7707,0.44461999999999996,0.97698,1.0,0.75493,0.007428,0.010042,0.0079379,0.045339,0.0020514,0.00055986,2.3504e-05,0.34214
1,6,0.72997,1.4892,0.34284000000000003,0.98755,1.0,0.8448200000000001,0.0049451,0.0044506,0.010487,0.058528,0.0034138000000000007,0.0011248,2.4798000000000002e-05,0.34068000000000004
1,7,0.82063,1.7529,0.44458000000000003,0.97964,0.99649,0.7677,0.0059279,0.006395399999999999,0.018375,0.080587,0.006452299999999999,0.0022713,4.1495e-05,0.53904
1,8,0.77982,1.6215,0.39221999999999996,0.9851200000000001,0.99825,0.80816,0.005098699999999999,0.004731399999999999,0.024875,0.089686,0.0079794,0.0024664,0.00014676,0.66975
1,9,0.83089,1.8199,0.45693,0.9824,1.0,0.7710600000000001,0.0060054999999999996,0.006564,0.007244700000000001,0.040616,0.0016469000000000002,0.00038812,3.2863e-05,0.33696
1,10,0.9063100000000001,2.3906,0.58336,0.97683,0.99825,0.66419,0.008401899999999999,0.012847999999999998,0.0070096,0.042347,0.0017901,0.00045889,2.8250999999999998e-05,0.28081999999999996
1,11,0.7459,1.4927,0.34115999999999996,0.9829600000000001,1.0,0.83088,0.0055665,0.0056395,0.005767899999999999,0.036511,0.0013312999999999999,0.00030872,3.1839e-05,0.25026
1,12,0.79606,1.6934,0.43387,0.9818100000000001,1.0,0.76985,0.0077992,0.011071,0.013677000000000002,0.05783200000000001,0.0033334000000000003,0.00081648,0.00013855,0.49751000000000006
2,1,0.93361,2.7582,0.64257,0.98346,1.0,0.59851,0.0055336000000000005,0.0055731,0.029712,0.089889,0.008015300000000001,0.0020648000000000003,0.00023883,0.91499
2,2,0.91186,2.4994,0.60323,0.983,1.0,0.6491600000000001,0.0061494,0.006882300000000001,0.018887,0.072486,0.0052267,0.0014887000000000001,8.327100000000001e-05,0.67811
2,3,0.8906299999999999,2.2927,0.56667,0.9873200000000001,1.0,0.66427,0.0028365,0.0014643,0.029272000000000003,0.09132799999999999,0.008271700000000002,0.0022383000000000004,0.00020166,0.87177
2,4,0.86755,2.009,0.51464,0.9869100000000001,1.0,0.70277,0.005443899999999999,0.0053936999999999995,0.030348000000000003,0.092063,0.0084044,0.0022541,0.00019854,0.94545
2,5,0.9185200000000001,2.5247,0.61648,0.9787,1.0,0.63037,0.0050494,0.004640399999999999,0.02309,0.08202899999999999,0.0066838999999999996,0.0018929000000000003,0.00012452,0.71713
2,6,0.88795,2.2038,0.56218,0.97835,0.99825,0.64158,0.0059242,0.0063874,0.032722,0.09296900000000001,0.0085691,0.0021199,0.00027729,1.008
2,7,0.85121,1.9548,0.4892,0.9862200000000001,1.0,0.70267,0.003973300000000001,0.0028733,0.020258,0.070841,0.0049933,0.0012274,0.00014929,0.74174
2,8,0.89084,2.2979,0.57815,0.9738899999999999,1.0,0.64598,0.015271000000000002,0.042443,0.028461,0.086477,0.007422800000000001,0.0018832,0.00024345,0.91307
2,9,0.9306200000000001,2.8973,0.65828,0.98182,1.0,0.5795,0.006489399999999999,0.0076644999999999994,0.023606,0.072237,0.0051909999999999994,0.0011217,0.00025558,0.9051299999999999
2,10,0.8411299999999999,1.86,0.46548999999999996,0.99039,1.0,0.75976,0.004675899999999999,0.0039793,0.062798,0.13234,0.017213,0.0044528,0.00065523,1.653
3,1,0.70273,1.2099,0.36317,0.9211,0.98772,0.60555,0.023597,0.10134,0.089301,0.20088,0.038786,0.015895,0.0004049,1.5371
3,2,0.6630699999999999,1.2065,0.32559,0.94952,0.99649,0.75954,0.013387999999999999,0.032621,0.021815,0.097143,0.0093485,0.0040284,3.6303e-05,0.5341
3,3,0.6128899999999999,1.0991,0.33116999999999996,0.92405,0.98421,0.61661,0.025544999999999998,0.11877,0.054687,0.1606,0.025144999999999997,0.011672,0.00012121,1.1076
3,4,0.70668,1.251,0.38111,0.94226,0.99825,0.6925,0.019431999999999998,0.06872400000000001,0.031587,0.11502000000000001,0.013056,0.005311199999999999,8.6352e-05,0.72247
3,5,0.66889,1.1435,0.3846,0.90355,0.99649,0.6057100000000001,0.028329000000000003,0.14606,0.057505999999999995,0.15930999999999998,0.024752,0.010304,0.00018533,1.1365
3,6,0.50139,1.0066,0.29593,0.91585,0.99825,0.6402899999999999,0.021782,0.08634700000000001,0.054635,0.1598,0.024899,0.011106,0.00016162,1.0511
3,7,0.6080300000000001,1.0646,0.3446,0.9048700000000001,0.99649,0.6751699999999999,0.031915,0.18538,0.06245,0.16410999999999998,0.026225,0.010602,0.00022964,1.2307
3,8,0.56599,1.0427,0.35318,0.89086,0.99825,0.62068,0.032971,0.19785,0.026348000000000003,0.10589000000000001,0.011087999999999999,0.0046505,5.2046e-05,0.62671
3,9,0.68605,1.1632,0.37528,0.9163899999999999,0.99825,0.61136,0.030338999999999998,0.16752999999999998,0.058401,0.16858,0.027632999999999998,0.012886000000000002,0.00015525,1.0815
3,10,0.5957100000000001,1.084,0.32592,0.92056,0.99825,0.65698,0.024753,0.11150999999999998,0.042051,0.14722000000000002,0.021213,0.010881,6.468e-05,0.83221
4,1,0.39432,1.1191,0.17272,0.96806,0.99298,0.73417,0.012499,0.028432,0.073063,0.13718,0.01847,0.0040597,0.00090977,1.8893
4,2,0.62011,1.3298,0.2836,0.96952,0.99825,0.77871,0.008656200000000001,0.013637,0.04722,0.1186,0.013872,0.0037549,0.00044188,1.2024
